Differential Evolution Results
Function: Ackley
Dimensions: 3

Generation	Best Fitness	Best Position
1	18.2588249145	[6.843 -14.35 -1.903]
2	18.2588249145	[6.843 -14.35 -1.903]
3	18.2588249145	[6.843 -14.35 -1.903]
4	18.0198906657	[7.352 3.194 -12.93]
5	18.0198906657	[7.352 3.194 -12.93]
6	18.0198906657	[7.352 3.194 -12.93]
7	16.8408336650	[9.974 -6.775 -2.532]
8	16.8408336650	[9.974 -6.775 -2.532]
9	16.8408336650	[9.974 -6.775 -2.532]
10	16.8408336650	[9.974 -6.775 -2.532]
11	16.8408336650	[9.974 -6.775 -2.532]
12	16.8408336650	[9.974 -6.775 -2.532]
13	16.8408336650	[9.974 -6.775 -2.532]
14	16.8408336650	[9.974 -6.775 -2.532]
15	16.8408336650	[9.974 -6.775 -2.532]
16	15.2034750269	[6.843 -9.017 -1.903]
17	15.2034750269	[6.843 -9.017 -1.903]
18	15.2034750269	[6.843 -9.017 -1.903]
19	15.2034750269	[6.843 -9.017 -1.903]
20	15.2034750269	[6.843 -9.017 -1.903]
21	15.2034750269	[6.843 -9.017 -1.903]
22	15.2034750269	[6.843 -9.017 -1.903]
23	15.2034750269	[6.843 -9.017 -1.903]
24	14.4468278891	[5.92 -7.2 -4]
25	14.4468278891	[5.92 -7.2 -4]
26	14.4468278891	[5.92 -7.2 -4]
27	14.4468278891	[5.92 -7.2 -4]
28	14.4468278891	[5.92 -7.2 -4]
29	14.4468278891	[5.92 -7.2 -4]
30	14.4468278891	[5.92 -7.2 -4]
