Differential Evolution Results
Function: Quadratic
Dimensions: 3

Generation	Best Fitness	Best Position
1	460.7270952157	[-14.62 -15.71 0.5524]
2	410.8465824849	[-14.62 14.03 0.5524]
3	262.1362608658	[5.455 12.86 8.178]
4	204.4631859762	[-12.49 -5.887 3.711]
5	42.8671681261	[-6.333 0.4639 1.594]
6	29.4584461813	[-3.771 1.395 3.646]
7	22.8651450006	[-4.28 -2.085 0.4502]
8	22.8651450006	[-4.28 -2.085 0.4502]
9	22.8651450006	[-4.28 -2.085 0.4502]
10	11.6955769813	[-2.596 0.6678 -2.124]
11	3.2632269642	[0.6892 0.4977 1.594]
12	3.2632269642	[0.6892 0.4977 1.594]
13	3.2632269642	[0.6892 0.4977 1.594]
14	1.9956821726	[1.002 -0.8235 -0.5599]
15	1.9956821726	[1.002 -0.8235 -0.5599]
16	1.2664783861	[0.6438 0.8717 0.3035]
17	1.2212735987	[0.9618 -0.5379 0.08271]
18	0.3485785425	[0.4355 0.08016 0.3905]
19	0.3485785425	[0.4355 0.08016 0.3905]
20	0.3485785425	[0.4355 0.08016 0.3905]
21	0.1116808368	[-0.03445 -0.2925 -0.1579]
22	0.1116808368	[-0.03445 -0.2925 -0.1579]
23	0.0404952487	[0.08539 0.1787 -0.03542]
24	0.0197229959	[0.08539 -0.1057 -0.03542]
25	0.0197229959	[0.08539 -0.1057 -0.03542]
26	0.0197229959	[0.08539 -0.1057 -0.03542]
27	0.0197229959	[0.08539 -0.1057 -0.03542]
28	0.0197229959	[0.08539 -0.1057 -0.03542]
29	0.0057976391	[0.06157 -0.01108 -0.04341]
30	0.0057976391	[0.06157 -0.01108 -0.04341]
