Differential Evolution Results
Function: Rastrigin
Dimensions: 3

Generation	Best Fitness	Best Position
1	389.8530822052	[-17.9 -7.145 -1.266]
2	389.8530822052	[-17.9 -7.145 -1.266]
3	326.5480622682	[-12.27 -7.507 8.709]
4	155.6227356594	[1.436 -7.076 9.069]
5	100.9134088524	[4.415 -7.145 1.192]
6	75.4135677867	[-4.996 0.4831 -3.623]
7	51.9276764931	[4.976 1.389 1.852]
8	51.9276764931	[4.976 1.389 1.852]
9	51.9276764931	[4.976 1.389 1.852]
10	19.2305774770	[-2.915 -0.141 -2.082]
11	18.5010504376	[0.8817 1.16 -3.012]
12	16.0251596443	[-0.1868 -2.918 -0.01487]
13	12.1968686287	[-0.1868 0.8279 -0.01487]
14	12.1968686287	[-0.1868 0.8279 -0.01487]
15	12.1968686287	[-0.1868 0.8279 -0.01487]
16	6.5234043467	[-0.09427 -0.9132 -0.9056]
17	6.5234043467	[-0.09427 -0.9132 -0.9056]
18	6.5234043467	[-0.09427 -0.9132 -0.9056]
19	6.5234043467	[-0.09427 -0.9132 -0.9056]
20	6.5234043467	[-0.09427 -0.9132 -0.9056]
21	6.5234043467	[-0.09427 -0.9132 -0.9056]
22	6.5234043467	[-0.09427 -0.9132 -0.9056]
23	4.9298527922	[-0.06465 0.02039 2.006]
24	4.9298527922	[-0.06465 0.02039 2.006]
25	4.9298527922	[-0.06465 0.02039 2.006]
26	3.9889527125	[0.09122 0.06929 1.043]
27	3.9889527125	[0.09122 0.06929 1.043]
28	3.0271196570	[0.07093 0.9782 0.9944]
29	3.0271196570	[0.07093 0.9782 0.9944]
30	3.0271196570	[0.07093 0.9782 0.9944]
