Differential Evolution Results
Function: Rosenbrock
Dimensions: 3

Generation	Best Fitness	Best Position
1	368450.3201713617	[-6.548 0.8358 44.48]
2	368450.3201713617	[-6.548 0.8358 44.48]
3	368450.3201713617	[-6.548 0.8358 44.48]
4	223784.8748960453	[-5.557 8.378 28.59]
5	10558.6766940672	[-1.667 8.654 83.29]
6	10558.6766940672	[-1.667 8.654 83.29]
7	10558.6766940672	[-1.667 8.654 83.29]
8	7644.8205635988	[-0.08509 -8.644 75.53]
9	7644.8205635988	[-0.08509 -8.644 75.53]
10	7644.8205635988	[-0.08509 -8.644 75.53]
11	300.1446377596	[-1.13 0.08683 -1.231]
12	300.1446377596	[-1.13 0.08683 -1.231]
13	300.1446377596	[-1.13 0.08683 -1.231]
14	79.2536701544	[-2.425 6.419 40.9]
15	79.2536701544	[-2.425 6.419 40.9]
16	79.2536701544	[-2.425 6.419 40.9]
17	79.2536701544	[-2.425 6.419 40.9]
18	79.2536701544	[-2.425 6.419 40.9]
19	79.2536701544	[-2.425 6.419 40.9]
20	79.2536701544	[-2.425 6.419 40.9]
21	79.2536701544	[-2.425 6.419 40.9]
22	54.6702093309	[-2.167 4.527 19.95]
23	54.6702093309	[-2.167 4.527 19.95]
24	3.1557030007	[-0.5059 0.2953 0.03854]
25	3.1557030007	[-0.5059 0.2953 0.03854]
26	3.1557030007	[-0.5059 0.2953 0.03854]
27	3.1557030007	[-0.5059 0.2953 0.03854]
28	3.1557030007	[-0.5059 0.2953 0.03854]
29	3.1557030007	[-0.5059 0.2953 0.03854]
30	3.1557030007	[-0.5059 0.2953 0.03854]
