Differential Evolution Results
Function: Ackley
Dimensions: 3

Generation	Best Fitness	Best Position
1	17.2871630358	[6.22 9.133 -8.816]
2	17.2871630358	[6.22 9.133 -8.816]
3	17.2871630358	[6.22 9.133 -8.816]
4	17.2871630358	[6.22 9.133 -8.816]
5	17.2871630358	[6.22 9.133 -8.816]
6	17.2871630358	[6.22 9.133 -8.816]
7	13.7519079410	[8.876 -2.057 -0.8247]
8	13.7519079410	[8.876 -2.057 -0.8247]
9	13.7519079410	[8.876 -2.057 -0.8247]
10	13.7519079410	[8.876 -2.057 -0.8247]
11	13.7519079410	[8.876 -2.057 -0.8247]
12	13.7519079410	[8.876 -2.057 -0.8247]
13	13.7519079410	[8.876 -2.057 -0.8247]
14	13.7519079410	[8.876 -2.057 -0.8247]
15	13.7519079410	[8.876 -2.057 -0.8247]
16	13.7519079410	[8.876 -2.057 -0.8247]
17	13.7519079410	[8.876 -2.057 -0.8247]
18	13.7519079410	[8.876 -2.057 -0.8247]
19	13.7519079410	[8.876 -2.057 -0.8247]
20	13.7519079410	[8.876 -2.057 -0.8247]
21	13.7519079410	[8.876 -2.057 -0.8247]
22	13.7519079410	[8.876 -2.057 -0.8247]
23	13.7519079410	[8.876 -2.057 -0.8247]
24	13.7519079410	[8.876 -2.057 -0.8247]
25	13.7519079410	[8.876 -2.057 -0.8247]
26	13.7519079410	[8.876 -2.057 -0.8247]
27	13.7519079410	[8.876 -2.057 -0.8247]
28	13.7519079410	[8.876 -2.057 -0.8247]
29	13.7519079410	[8.876 -2.057 -0.8247]
30	13.7519079410	[8.876 -2.057 -0.8247]
31	13.7519079410	[8.876 -2.057 -0.8247]
32	13.7519079410	[8.876 -2.057 -0.8247]
33	13.7519079410	[8.876 -2.057 -0.8247]
34	13.7519079410	[8.876 -2.057 -0.8247]
35	13.7519079410	[8.876 -2.057 -0.8247]
36	13.7519079410	[8.876 -2.057 -0.8247]
37	13.7519079410	[8.876 -2.057 -0.8247]
38	13.7519079410	[8.876 -2.057 -0.8247]
39	13.7519079410	[8.876 -2.057 -0.8247]
40	13.7519079410	[8.876 -2.057 -0.8247]
41	13.7519079410	[8.876 -2.057 -0.8247]
42	13.7519079410	[8.876 -2.057 -0.8247]
43	13.7519079410	[8.876 -2.057 -0.8247]
44	13.7519079410	[8.876 -2.057 -0.8247]
45	13.7519079410	[8.876 -2.057 -0.8247]
46	13.7519079410	[8.876 -2.057 -0.8247]
47	13.7519079410	[8.876 -2.057 -0.8247]
48	13.7519079410	[8.876 -2.057 -0.8247]
49	13.7519079410	[8.876 -2.057 -0.8247]
50	4.4897972878	[-1.027 0.627 0.8675]
51	4.4897972878	[-1.027 0.627 0.8675]
52	4.4897972878	[-1.027 0.627 0.8675]
53	4.4897972878	[-1.027 0.627 0.8675]
54	4.4897972878	[-1.027 0.627 0.8675]
55	4.4897972878	[-1.027 0.627 0.8675]
56	4.4897972878	[-1.027 0.627 0.8675]
57	4.4897972878	[-1.027 0.627 0.8675]
58	4.4897972878	[-1.027 0.627 0.8675]
59	4.4897972878	[-1.027 0.627 0.8675]
60	4.4897972878	[-1.027 0.627 0.8675]
61	4.4897972878	[-1.027 0.627 0.8675]
62	4.4897972878	[-1.027 0.627 0.8675]
63	4.4897972878	[-1.027 0.627 0.8675]
64	4.4897972878	[-1.027 0.627 0.8675]
65	4.4897972878	[-1.027 0.627 0.8675]
66	4.4897972878	[-1.027 0.627 0.8675]
67	4.4897972878	[-1.027 0.627 0.8675]
68	4.4897972878	[-1.027 0.627 0.8675]
69	4.4897972878	[-1.027 0.627 0.8675]
70	4.4897972878	[-1.027 0.627 0.8675]
71	4.4897972878	[-1.027 0.627 0.8675]
72	4.4897972878	[-1.027 0.627 0.8675]
73	4.4897972878	[-1.027 0.627 0.8675]
74	4.4897972878	[-1.027 0.627 0.8675]
75	4.4897972878	[-1.027 0.627 0.8675]
76	4.4897972878	[-1.027 0.627 0.8675]
77	4.4897972878	[-1.027 0.627 0.8675]
78	4.4897972878	[-1.027 0.627 0.8675]
79	4.4897972878	[-1.027 0.627 0.8675]
80	4.4897972878	[-1.027 0.627 0.8675]
81	4.4897972878	[-1.027 0.627 0.8675]
82	4.4897972878	[-1.027 0.627 0.8675]
83	4.4897972878	[-1.027 0.627 0.8675]
84	4.4897972878	[-1.027 0.627 0.8675]
85	4.4897972878	[-1.027 0.627 0.8675]
86	4.4897972878	[-1.027 0.627 0.8675]
87	4.4897972878	[-1.027 0.627 0.8675]
88	4.4897972878	[-1.027 0.627 0.8675]
89	4.4897972878	[-1.027 0.627 0.8675]
90	4.4897972878	[-1.027 0.627 0.8675]
91	4.4897972878	[-1.027 0.627 0.8675]
92	4.4897972878	[-1.027 0.627 0.8675]
93	4.4897972878	[-1.027 0.627 0.8675]
94	4.4897972878	[-1.027 0.627 0.8675]
95	4.4897972878	[-1.027 0.627 0.8675]
96	4.4897972878	[-1.027 0.627 0.8675]
97	4.4897972878	[-1.027 0.627 0.8675]
98	4.4897972878	[-1.027 0.627 0.8675]
99	4.4897972878	[-1.027 0.627 0.8675]
100	4.4897972878	[-1.027 0.627 0.8675]
101	4.4897972878	[-1.027 0.627 0.8675]
102	4.4897972878	[-1.027 0.627 0.8675]
103	4.4897972878	[-1.027 0.627 0.8675]
104	4.4897972878	[-1.027 0.627 0.8675]
105	4.4897972878	[-1.027 0.627 0.8675]
106	4.4897972878	[-1.027 0.627 0.8675]
107	4.4897972878	[-1.027 0.627 0.8675]
108	4.4897972878	[-1.027 0.627 0.8675]
109	4.4897972878	[-1.027 0.627 0.8675]
110	4.4897972878	[-1.027 0.627 0.8675]
111	4.4897972878	[-1.027 0.627 0.8675]
112	4.4897972878	[-1.027 0.627 0.8675]
113	4.4897972878	[-1.027 0.627 0.8675]
114	4.4897972878	[-1.027 0.627 0.8675]
115	4.2992175049	[1.267 -0.03967 0.8675]
116	4.2992175049	[1.267 -0.03967 0.8675]
117	4.2992175049	[1.267 -0.03967 0.8675]
118	4.2992175049	[1.267 -0.03967 0.8675]
119	4.2992175049	[1.267 -0.03967 0.8675]
120	4.2992175049	[1.267 -0.03967 0.8675]
121	4.2992175049	[1.267 -0.03967 0.8675]
122	4.2992175049	[1.267 -0.03967 0.8675]
123	4.2992175049	[1.267 -0.03967 0.8675]
124	4.2992175049	[1.267 -0.03967 0.8675]
125	4.2992175049	[1.267 -0.03967 0.8675]
126	4.2992175049	[1.267 -0.03967 0.8675]
127	4.2992175049	[1.267 -0.03967 0.8675]
128	4.2992175049	[1.267 -0.03967 0.8675]
129	4.2992175049	[1.267 -0.03967 0.8675]
130	4.2992175049	[1.267 -0.03967 0.8675]
131	4.2380482845	[1.267 -0.03967 0.9777]
132	4.2380482845	[1.267 -0.03967 0.9777]
133	4.2380482845	[1.267 -0.03967 0.9777]
134	4.2380482845	[1.267 -0.03967 0.9777]
135	4.2380482845	[1.267 -0.03967 0.9777]
136	3.5800919083	[1.267 -0.03967 -0.005716]
137	3.5800919083	[1.267 -0.03967 -0.005716]
138	3.5800919083	[1.267 -0.03967 -0.005716]
139	3.5800919083	[1.267 -0.03967 -0.005716]
140	2.5733294395	[0.1558 -0.03967 0.8675]
141	2.5733294395	[0.1558 -0.03967 0.8675]
142	2.5733294395	[0.1558 -0.03967 0.8675]
143	2.5733294395	[0.1558 -0.03967 0.8675]
144	2.5733294395	[0.1558 -0.03967 0.8675]
145	2.5733294395	[0.1558 -0.03967 0.8675]
146	2.5733294395	[0.1558 -0.03967 0.8675]
147	2.5733294395	[0.1558 -0.03967 0.8675]
148	2.5733294395	[0.1558 -0.03967 0.8675]
149	2.5733294395	[0.1558 -0.03967 0.8675]
150	2.3585568027	[0.04279 -0.03967 1.041]
151	2.3585568027	[0.04279 -0.03967 1.041]
152	0.7541717507	[0.1558 -0.009366 0.03213]
153	0.7541717507	[0.1558 -0.009366 0.03213]
154	0.7541717507	[0.1558 -0.009366 0.03213]
155	0.7541717507	[0.1558 -0.009366 0.03213]
156	0.7541717507	[0.1558 -0.009366 0.03213]
157	0.7541717507	[0.1558 -0.009366 0.03213]
158	0.7541717507	[0.1558 -0.009366 0.03213]
