Differential Evolution Results
Function: Quadratic
Dimensions: 3

Generation	Best Fitness	Best Position
1	394.2833770634	[14.51 -12.18 -5.943]
2	291.7528343453	[-3.397 -16.59 -2.197]
3	192.5047819249	[2.98 -12.18 -5.943]
4	117.4759391452	[3.908 5.514 8.473]
5	38.7145429664	[-1.561 -3.918 4.575]
6	38.7145429664	[-1.561 -3.918 4.575]
7	38.7145429664	[-1.561 -3.918 4.575]
8	15.8564355970	[-1.561 -2.425 2.746]
9	15.5001555692	[1.048 3.395 1.697]
10	5.5253589294	[1.048 1.244 1.697]
11	0.5647905148	[-0.5944 -0.4237 0.1787]
12	0.5647905148	[-0.5944 -0.4237 0.1787]
13	0.5647905148	[-0.5944 -0.4237 0.1787]
14	0.5647905148	[-0.5944 -0.4237 0.1787]
15	0.2409921375	[0.2784 -0.4043 -0.002838]
16	0.2409921375	[0.2784 -0.4043 -0.002838]
17	0.2409921375	[0.2784 -0.4043 -0.002838]
18	0.2409921375	[0.2784 -0.4043 -0.002838]
19	0.2409921375	[0.2784 -0.4043 -0.002838]
20	0.1116356705	[-0.04819 -0.3174 -0.09275]
21	0.1116356705	[-0.04819 -0.3174 -0.09275]
22	0.0459507424	[0.0617 0.1274 -0.161]
23	0.0212919036	[-0.1008 -0.1023 0.02556]
24	0.0212919036	[-0.1008 -0.1023 0.02556]
25	0.0212919036	[-0.1008 -0.1023 0.02556]
26	0.0212919036	[-0.1008 -0.1023 0.02556]
27	0.0212919036	[-0.1008 -0.1023 0.02556]
28	0.0063678818	[-0.07257 -0.02857 0.01689]
29	0.0063678818	[-0.07257 -0.02857 0.01689]
30	0.0000814019	[0.007028 -0.003775 -0.004214]
31	0.0000814019	[0.007028 -0.003775 -0.004214]
32	0.0000814019	[0.007028 -0.003775 -0.004214]
33	0.0000814019	[0.007028 -0.003775 -0.004214]
34	0.0000814019	[0.007028 -0.003775 -0.004214]
35	0.0000814019	[0.007028 -0.003775 -0.004214]
36	0.0000814019	[0.007028 -0.003775 -0.004214]
37	0.0000814019	[0.007028 -0.003775 -0.004214]
38	0.0000814019	[0.007028 -0.003775 -0.004214]
39	0.0000658273	[0.007826 -0.002133 -0.0001553]
40	0.0000658273	[0.007826 -0.002133 -0.0001553]
41	0.0000658273	[0.007826 -0.002133 -0.0001553]
42	0.0000636397	[0.006789 0.003323 -0.002552]
43	0.0000361138	[3.831e-05 0.0002142 0.006006]
44	0.0000361138	[3.831e-05 0.0002142 0.006006]
45	0.0000259015	[-0.003639 -0.003317 -0.001288]
46	0.0000121009	[0.001429 -0.00314 -0.0004471]
47	0.0000117410	[0.003253 -0.0008438 0.000671]
48	0.0000059079	[0.0006437 -0.002307 -0.0004156]
49	0.0000059079	[0.0006437 -0.002307 -0.0004156]
50	0.0000010366	[-5.062e-05 2.487e-05 -0.001017]
51	0.0000010366	[-5.062e-05 2.487e-05 -0.001017]
52	0.0000005872	[0.0006437 4.461e-06 -0.0004156]
53	0.0000004032	[0.0001075 0.0005619 0.0002756]
54	0.0000004032	[0.0001075 0.0005619 0.0002756]
55	0.0000004032	[0.0001075 0.0005619 0.0002756]
56	0.0000004032	[0.0001075 0.0005619 0.0002756]
57	0.0000004032	[0.0001075 0.0005619 0.0002756]
58	0.0000001303	[0.0001829 -0.0002904 -0.0001119]
59	0.0000001303	[0.0001829 -0.0002904 -0.0001119]
60	0.0000001303	[0.0001829 -0.0002904 -0.0001119]
61	0.0000000507	[0.0001829 6.851e-05 -0.0001119]
62	0.0000000291	[-4.949e-05 0.0001632 4.128e-06]
63	0.0000000028	[4.709e-05 1.823e-05 -1.706e-05]
64	0.0000000028	[4.709e-05 1.823e-05 -1.706e-05]
65	0.0000000028	[4.709e-05 1.823e-05 -1.706e-05]
66	0.0000000028	[4.709e-05 1.823e-05 -1.706e-05]
67	0.0000000028	[4.709e-05 1.823e-05 -1.706e-05]
68	0.0000000028	[4.709e-05 1.823e-05 -1.706e-05]
69	0.0000000007	[-1.106e-05 2.267e-05 -5.943e-06]
70	0.0000000007	[-1.106e-05 2.267e-05 -5.943e-06]
71	0.0000000007	[-1.106e-05 2.267e-05 -5.943e-06]
72	0.0000000003	[-6.942e-06 -1.606e-05 4.045e-06]
73	0.0000000003	[-6.942e-06 -1.606e-05 4.045e-06]
74	0.0000000003	[-6.942e-06 -1.606e-05 4.045e-06]
75	0.0000000003	[-6.942e-06 -1.606e-05 4.045e-06]
76	0.0000000001	[-4.847e-06 2.047e-06 -9.78e-06]
77	0.0000000001	[1.406e-06 -3.976e-06 -8.433e-06]
78	0.0000000001	[1.406e-06 -3.976e-06 -8.433e-06]
79	0.0000000000	[3.999e-08 6.507e-06 2.331e-06]
80	0.0000000000	[3.999e-08 6.507e-06 2.331e-06]
81	0.0000000000	[6.758e-07 -3.712e-06 -3.046e-06]
82	0.0000000000	[3.999e-08 -4.378e-07 2.331e-06]
83	0.0000000000	[-8.99e-07 -1.618e-06 -1.246e-06]
84	0.0000000000	[-8.99e-07 -1.618e-06 -1.246e-06]
85	0.0000000000	[-1.989e-06 4.93e-07 -2.347e-07]
86	0.0000000000	[-1.989e-06 4.93e-07 -2.347e-07]
87	0.0000000000	[-1.989e-06 4.93e-07 -2.347e-07]
88	0.0000000000	[-5.462e-07 -4.36e-07 -1.677e-06]
89	0.0000000000	[-2.231e-07 3.488e-07 7.488e-07]
90	0.0000000000	[-2.231e-07 3.488e-07 7.488e-07]
91	0.0000000000	[-2.413e-07 1.502e-07 1.641e-07]
92	0.0000000000	[-2.413e-07 1.502e-07 1.641e-07]
93	0.0000000000	[-2.413e-07 1.502e-07 1.641e-07]
94	0.0000000000	[-2.413e-07 1.502e-07 1.641e-07]
95	0.0000000000	[-1.017e-07 2.134e-07 -3.789e-08]
96	0.0000000000	[-1.017e-07 2.134e-07 -3.789e-08]
97	0.0000000000	[-1.017e-07 2.134e-07 -3.789e-08]
98	0.0000000000	[-1.206e-07 -9.009e-08 7.841e-08]
99	0.0000000000	[-6.31e-08 -7.945e-09 -5.771e-08]
100	0.0000000000	[-6.31e-08 -7.945e-09 -5.771e-08]
101	0.0000000000	[-6.31e-08 -7.945e-09 -5.771e-08]
102	0.0000000000	[5.947e-08 -4.589e-08 3.14e-08]
103	0.0000000000	[5.009e-08 1.821e-09 -8.992e-09]
104	0.0000000000	[-7.408e-09 5.86e-09 4.08e-09]
105	0.0000000000	[-7.408e-09 5.86e-09 4.08e-09]
106	0.0000000000	[-7.408e-09 5.86e-09 4.08e-09]
107	0.0000000000	[-7.408e-09 5.86e-09 4.08e-09]
108	0.0000000000	[-7.408e-09 5.86e-09 4.08e-09]
109	0.0000000000	[-7.408e-09 5.86e-09 4.08e-09]
110	0.0000000000	[-7.408e-09 5.86e-09 4.08e-09]
111	0.0000000000	[4.709e-09 4.282e-09 -2.853e-09]
112	0.0000000000	[4.709e-09 4.282e-09 -2.853e-09]
113	0.0000000000	[4.709e-09 4.282e-09 -2.853e-09]
114	0.0000000000	[4.709e-09 4.282e-09 -2.853e-09]
115	0.0000000000	[4.709e-09 4.282e-09 -2.853e-09]
116	0.0000000000	[-6.151e-09 -5.978e-10 -2.944e-09]
117	0.0000000000	[1.061e-09 -6.109e-10 -1.194e-10]
118	0.0000000000	[-9.252e-10 -6.109e-10 -1.194e-10]
119	0.0000000000	[-9.252e-10 -6.109e-10 -1.194e-10]
120	0.0000000000	[-9.252e-10 -6.109e-10 -1.194e-10]
121	0.0000000000	[-9.252e-10 -6.109e-10 -1.194e-10]
122	0.0000000000	[6.44e-10 3.432e-10 3.729e-10]
123	0.0000000000	[6.44e-10 3.432e-10 3.729e-10]
124	0.0000000000	[2.741e-10 1.247e-10 9.808e-11]
125	0.0000000000	[2.741e-10 1.247e-10 9.808e-11]
126	0.0000000000	[2.741e-10 1.247e-10 9.808e-11]
127	0.0000000000	[2.741e-10 1.247e-10 9.808e-11]
128	0.0000000000	[1.492e-10 1.247e-10 9.808e-11]
129	0.0000000000	[1.492e-10 1.247e-10 9.808e-11]
130	0.0000000000	[1.492e-10 1.247e-10 9.808e-11]
131	0.0000000000	[1.492e-10 1.247e-10 9.808e-11]
132	0.0000000000	[1.385e-10 -1.24e-11 7.24e-11]
133	0.0000000000	[1.385e-10 -1.24e-11 7.24e-11]
134	0.0000000000	[-1.334e-10 9.012e-12 3.787e-11]
135	0.0000000000	[-1.334e-10 9.012e-12 3.787e-11]
136	0.0000000000	[-1.334e-10 9.012e-12 3.787e-11]
137	0.0000000000	[-3.216e-11 -2.068e-12 -6.125e-11]
138	0.0000000000	[5.295e-11 -8.37e-12 -3.441e-11]
139	0.0000000000	[4.087e-12 -2.562e-11 4.193e-11]
140	0.0000000000	[4.087e-12 -2.562e-11 4.193e-11]
141	0.0000000000	[4.087e-12 -2.562e-11 4.193e-11]
142	0.0000000000	[9.755e-12 4.117e-11 1.263e-11]
143	0.0000000000	[9e-12 -2.007e-11 1.793e-11]
144	0.0000000000	[9.755e-12 -1.247e-11 1.263e-11]
145	0.0000000000	[9.755e-12 -1.247e-11 1.263e-11]
146	0.0000000000	[9.755e-12 -1.247e-11 1.263e-11]
147	0.0000000000	[1.292e-11 -6.188e-12 2.724e-12]
148	0.0000000000	[-1.8e-12 8.905e-12 -7.772e-13]
149	0.0000000000	[-1.8e-12 8.905e-12 -7.772e-13]
150	0.0000000000	[-4.618e-12 2.625e-12 5.004e-12]
151	0.0000000000	[-4.618e-12 2.625e-12 5.004e-12]
152	0.0000000000	[3.426e-12 2.757e-12 -1.982e-12]
153	0.0000000000	[3.426e-12 2.757e-12 -1.982e-12]
154	0.0000000000	[2.625e-13 2.779e-12 -2.991e-12]
155	0.0000000000	[2.625e-13 2.779e-12 -2.991e-12]
156	0.0000000000	[-1.497e-12 -2.582e-12 2.128e-12]
157	0.0000000000	[-2.741e-13 -9.836e-13 2.144e-12]
158	0.0000000000	[-1.455e-12 3.585e-13 1.177e-12]
159	0.0000000000	[-3.246e-14 8.031e-13 -2.766e-13]
160	0.0000000000	[-3.246e-14 8.031e-13 -2.766e-13]
161	0.0000000000	[6.121e-14 -3.236e-13 3.946e-13]
162	0.0000000000	[6.121e-14 -3.236e-13 3.946e-13]
163	0.0000000000	[6.121e-14 -3.236e-13 3.946e-13]
164	0.0000000000	[6.121e-14 -3.236e-13 3.946e-13]
165	0.0000000000	[6.121e-14 -3.236e-13 3.946e-13]
166	0.0000000000	[9.667e-14 5.497e-14 2.163e-13]
167	0.0000000000	[9.667e-14 5.497e-14 2.163e-13]
168	0.0000000000	[9.667e-14 5.497e-14 2.163e-13]
169	0.0000000000	[9.667e-14 5.497e-14 2.163e-13]
170	0.0000000000	[1.208e-13 6.434e-14 3.422e-14]
171	0.0000000000	[1.208e-13 6.434e-14 3.422e-14]
172	0.0000000000	[1.208e-13 6.434e-14 3.422e-14]
173	0.0000000000	[1.208e-13 6.434e-14 3.422e-14]
174	0.0000000000	[1.208e-13 6.434e-14 3.422e-14]
175	0.0000000000	[4.232e-14 -4.413e-14 3.459e-14]
176	0.0000000000	[4.232e-14 -4.413e-14 3.459e-14]
177	0.0000000000	[4.232e-14 -4.413e-14 3.459e-14]
178	0.0000000000	[4.232e-14 -4.413e-14 3.459e-14]
179	0.0000000000	[1.807e-15 1.742e-14 -4.027e-15]
180	0.0000000000	[1.807e-15 1.742e-14 -4.027e-15]
181	0.0000000000	[1.807e-15 1.742e-14 -4.027e-15]
182	0.0000000000	[1.807e-15 -1.376e-14 -4.027e-15]
183	0.0000000000	[1.807e-15 -1.376e-14 -4.027e-15]
184	0.0000000000	[9.084e-15 7.291e-15 4.895e-15]
185	0.0000000000	[9.084e-15 7.291e-15 4.895e-15]
186	0.0000000000	[-2.046e-15 1.768e-15 -1.037e-14]
187	0.0000000000	[-6.044e-16 -4.734e-15 5.728e-15]
188	0.0000000000	[3.231e-16 1.459e-15 2.065e-15]
189	0.0000000000	[3.231e-16 1.459e-15 2.065e-15]
190	0.0000000000	[3.231e-16 1.459e-15 2.065e-15]
191	0.0000000000	[3.231e-16 1.459e-15 2.065e-15]
192	0.0000000000	[3.231e-16 1.459e-15 2.065e-15]
