Differential Evolution Results
Function: Rastrigin
Dimensions: 3

Generation	Best Fitness	Best Position
1	362.4278598205	[4.754 -5.239 -16.55]
2	132.7654506641	[-6.228 3.259 -7.908]
3	132.7654506641	[-6.228 3.259 -7.908]
4	58.3467512165	[2.11 0.5726 -3.514]
5	58.3467512165	[2.11 0.5726 -3.514]
6	58.3467512165	[2.11 0.5726 -3.514]
7	32.9267144889	[-0.05539 -2.153 -2.39]
8	32.9267144889	[-0.05539 -2.153 -2.39]
9	29.4057951646	[0.704 0.655 0.007517]
10	21.1930861849	[-1.031 -0.09772 1.66]
11	21.1930861849	[-1.031 -0.09772 1.66]
12	14.5235439406	[0.8682 -0.9269 -1.205]
13	8.5899334718	[-0.1149 -1.972 -0.1031]
14	7.0134606165	[2.03 0.03645 -0.9079]
15	7.0134606165	[2.03 0.03645 -0.9079]
16	4.8120747597	[2.03 0.03645 -0.03555]
17	4.8120747597	[2.03 0.03645 -0.03555]
18	4.8120747597	[2.03 0.03645 -0.03555]
19	4.8120747597	[2.03 0.03645 -0.03555]
20	2.6599424433	[-0.9662 -0.01627 -1.043]
21	2.6599424433	[-0.9662 -0.01627 -1.043]
22	2.6599424433	[-0.9662 -0.01627 -1.043]
23	2.6599424433	[-0.9662 -0.01627 -1.043]
24	1.0955307345	[0.009959 -0.9964 0.02016]
25	1.0955307345	[0.009959 -0.9964 0.02016]
26	1.0955307345	[0.009959 -0.9964 0.02016]
27	1.0955307345	[0.009959 -0.9964 0.02016]
28	1.0955307345	[0.009959 -0.9964 0.02016]
29	1.0955307345	[0.009959 -0.9964 0.02016]
30	1.0955307345	[0.009959 -0.9964 0.02016]
31	1.0955307345	[0.009959 -0.9964 0.02016]
32	1.0955307345	[0.009959 -0.9964 0.02016]
33	1.0955307345	[0.009959 -0.9964 0.02016]
34	1.0955307345	[0.009959 -0.9964 0.02016]
35	1.0955307345	[0.009959 -0.9964 0.02016]
36	0.6557888048	[-0.04443 -0.008665 -0.0357]
37	0.6557888048	[-0.04443 -0.008665 -0.0357]
38	0.6557888048	[-0.04443 -0.008665 -0.0357]
