Differential Evolution Results
Function: Rosenbrock
Dimensions: 3

Generation	Best Fitness	Best Position
1	20821.1856059404	[2.261 6.96 34.15]
2	20821.1856059404	[2.261 6.96 34.15]
3	12048.6622473159	[-1.614 7.932 53.36]
4	12048.6622473159	[-1.614 7.932 53.36]
5	11139.0202133715	[0.879 3.014 19.4]
6	1592.8252074650	[1.885 -0.4101 -0.2688]
7	1592.8252074650	[1.885 -0.4101 -0.2688]
8	1592.8252074650	[1.885 -0.4101 -0.2688]
9	563.4808899822	[2.057 4.284 16]
10	563.4808899822	[2.057 4.284 16]
11	222.5876876760	[0.2503 1.51 1.928]
12	148.6388187590	[-2.313 4.364 19.58]
13	148.6388187590	[-2.313 4.364 19.58]
14	148.6388187590	[-2.313 4.364 19.58]
15	148.6388187590	[-2.313 4.364 19.58]
16	75.8927765919	[-0.958 1.046 1.934]
17	75.8927765919	[-0.958 1.046 1.934]
18	75.8927765919	[-0.958 1.046 1.934]
19	73.3974825794	[2.264 5.411 29.94]
20	17.9453411154	[-1.199 1.51 1.928]
21	17.9453411154	[-1.199 1.51 1.928]
22	17.9453411154	[-1.199 1.51 1.928]
23	17.9453411154	[-1.199 1.51 1.928]
24	17.9453411154	[-1.199 1.51 1.928]
25	17.9453411154	[-1.199 1.51 1.928]
26	17.9453411154	[-1.199 1.51 1.928]
27	17.9453411154	[-1.199 1.51 1.928]
28	15.2897383016	[-0.8086 0.4072 0.4021]
29	15.2897383016	[-0.8086 0.4072 0.4021]
30	15.2897383016	[-0.8086 0.4072 0.4021]
31	15.1884199116	[-0.8107 0.3399 -0.002955]
32	15.1884199116	[-0.8107 0.3399 -0.002955]
33	13.9629127058	[1.198 1.589 2.86]
34	13.9629127058	[1.198 1.589 2.86]
35	9.9327406641	[1.231 1.204 1.477]
36	8.8561868967	[1.176 1.666 2.84]
37	8.8561868967	[1.176 1.666 2.84]
38	8.8561868967	[1.176 1.666 2.84]
39	8.5536827356	[-0.958 1.046 1.27]
40	7.2846257682	[-1.419 2.029 4.177]
41	7.2846257682	[-1.419 2.029 4.177]
42	7.2846257682	[-1.419 2.029 4.177]
43	5.7379875220	[1.495 2.243 4.831]
44	5.4552674795	[0.9215 1.041 1.217]
45	5.4552674795	[0.9215 1.041 1.217]
46	5.4552674795	[0.9215 1.041 1.217]
47	5.4552674795	[0.9215 1.041 1.217]
48	5.4552674795	[0.9215 1.041 1.217]
49	5.4552674795	[0.9215 1.041 1.217]
50	5.4552674795	[0.9215 1.041 1.217]
51	1.0673149919	[0.4786 0.1922 0.02882]
52	1.0673149919	[0.4786 0.1922 0.02882]
53	1.0673149919	[0.4786 0.1922 0.02882]
54	1.0673149919	[0.4786 0.1922 0.02882]
55	1.0673149919	[0.4786 0.1922 0.02882]
56	1.0673149919	[0.4786 0.1922 0.02882]
57	1.0673149919	[0.4786 0.1922 0.02882]
58	1.0673149919	[0.4786 0.1922 0.02882]
59	1.0673149919	[0.4786 0.1922 0.02882]
60	1.0673149919	[0.4786 0.1922 0.02882]
61	1.0673149919	[0.4786 0.1922 0.02882]
62	1.0673149919	[0.4786 0.1922 0.02882]
63	1.0673149919	[0.4786 0.1922 0.02882]
64	1.0673149919	[0.4786 0.1922 0.02882]
65	1.0673149919	[0.4786 0.1922 0.02882]
66	1.0673149919	[0.4786 0.1922 0.02882]
67	1.0673149919	[0.4786 0.1922 0.02882]
68	1.0673149919	[0.4786 0.1922 0.02882]
69	1.0673149919	[0.4786 0.1922 0.02882]
70	1.0673149919	[0.4786 0.1922 0.02882]
71	1.0673149919	[0.4786 0.1922 0.02882]
72	1.0673149919	[0.4786 0.1922 0.02882]
73	0.7048431073	[1.165 1.422 2.048]
74	0.7048431073	[1.165 1.422 2.048]
75	0.7048431073	[1.165 1.422 2.048]
76	0.7048431073	[1.165 1.422 2.048]
77	0.7048431073	[1.165 1.422 2.048]
78	0.7048431073	[1.165 1.422 2.048]
79	0.7048431073	[1.165 1.422 2.048]
80	0.7048431073	[1.165 1.422 2.048]
81	0.7048431073	[1.165 1.422 2.048]
82	0.7048431073	[1.165 1.422 2.048]
83	0.7048431073	[1.165 1.422 2.048]
84	0.7048431073	[1.165 1.422 2.048]
85	0.7048431073	[1.165 1.422 2.048]
86	0.7048431073	[1.165 1.422 2.048]
87	0.7048431073	[1.165 1.422 2.048]
88	0.7048431073	[1.165 1.422 2.048]
89	0.7048431073	[1.165 1.422 2.048]
90	0.0752283675	[0.9518 0.9224 0.8308]
91	0.0752283675	[0.9518 0.9224 0.8308]
92	0.0752283675	[0.9518 0.9224 0.8308]
93	0.0752283675	[0.9518 0.9224 0.8308]
94	0.0752283675	[0.9518 0.9224 0.8308]
95	0.0752283675	[0.9518 0.9224 0.8308]
96	0.0752283675	[0.9518 0.9224 0.8308]
97	0.0752283675	[0.9518 0.9224 0.8308]
98	0.0752283675	[0.9518 0.9224 0.8308]
99	0.0752283675	[0.9518 0.9224 0.8308]
100	0.0752283675	[0.9518 0.9224 0.8308]
101	0.0752283675	[0.9518 0.9224 0.8308]
102	0.0752283675	[0.9518 0.9224 0.8308]
103	0.0752283675	[0.9518 0.9224 0.8308]
104	0.0752283675	[0.9518 0.9224 0.8308]
105	0.0752283675	[0.9518 0.9224 0.8308]
106	0.0752283675	[0.9518 0.9224 0.8308]
107	0.0752283675	[0.9518 0.9224 0.8308]
108	0.0752283675	[0.9518 0.9224 0.8308]
109	0.0752283675	[0.9518 0.9224 0.8308]
110	0.0752283675	[0.9518 0.9224 0.8308]
111	0.0752283675	[0.9518 0.9224 0.8308]
112	0.0752283675	[0.9518 0.9224 0.8308]
113	0.0752283675	[0.9518 0.9224 0.8308]
114	0.0752283675	[0.9518 0.9224 0.8308]
115	0.0752283675	[0.9518 0.9224 0.8308]
116	0.0752283675	[0.9518 0.9224 0.8308]
117	0.0752283675	[0.9518 0.9224 0.8308]
118	0.0752283675	[0.9518 0.9224 0.8308]
119	0.0752283675	[0.9518 0.9224 0.8308]
120	0.0752283675	[0.9518 0.9224 0.8308]
121	0.0752283675	[0.9518 0.9224 0.8308]
122	0.0752283675	[0.9518 0.9224 0.8308]
123	0.0752283675	[0.9518 0.9224 0.8308]
124	0.0752283675	[0.9518 0.9224 0.8308]
125	0.0752283675	[0.9518 0.9224 0.8308]
126	0.0752283675	[0.9518 0.9224 0.8308]
127	0.0752283675	[0.9518 0.9224 0.8308]
128	0.0752283675	[0.9518 0.9224 0.8308]
129	0.0752283675	[0.9518 0.9224 0.8308]
130	0.0752283675	[0.9518 0.9224 0.8308]
131	0.0752283675	[0.9518 0.9224 0.8308]
132	0.0752283675	[0.9518 0.9224 0.8308]
133	0.0752283675	[0.9518 0.9224 0.8308]
134	0.0752283675	[0.9518 0.9224 0.8308]
135	0.0752283675	[0.9518 0.9224 0.8308]
136	0.0752283675	[0.9518 0.9224 0.8308]
137	0.0752283675	[0.9518 0.9224 0.8308]
138	0.0752283675	[0.9518 0.9224 0.8308]
139	0.0752283675	[0.9518 0.9224 0.8308]
