Differential Evolution Results
Function: Quadratic
Dimensions: 3

Generation	Best Fitness	Best Position
1	448.4578639741	[5.569 -16.55 11.99]
2	448.4578639741	[5.569 -16.55 11.99]
3	176.4489417710	[-0.3631 12.96 2.883]
4	88.2310219532	[-0.3631 8.932 2.883]
5	88.2310219532	[-0.3631 8.932 2.883]
6	88.2310219532	[-0.3631 8.932 2.883]
7	88.2310219532	[-0.3631 8.932 2.883]
8	70.7756919369	[-7.05 -3.133 -3.355]
9	46.0540065832	[-2.734 3.262 -5.286]
10	46.0540065832	[-2.734 3.262 -5.286]
11	10.1934288812	[1.001 -0.3875 -3.007]
12	10.1934288812	[1.001 -0.3875 -3.007]
13	10.1934288812	[1.001 -0.3875 -3.007]
14	2.4528804080	[-0.9771 0.5601 1.088]
15	2.4528804080	[-0.9771 0.5601 1.088]
16	2.4528804080	[-0.9771 0.5601 1.088]
17	0.6700792583	[-0.1102 0.6653 0.464]
18	0.6700792583	[-0.1102 0.6653 0.464]
19	0.6700792583	[-0.1102 0.6653 0.464]
20	0.2286666862	[-0.1655 0.04342 0.4465]
21	0.2286666862	[-0.1655 0.04342 0.4465]
22	0.1326334134	[0.1626 0.2058 0.2527]
23	0.1326334134	[0.1626 0.2058 0.2527]
24	0.0732686179	[-0.02802 -0.148 -0.2249]
25	0.0732686179	[-0.02802 -0.148 -0.2249]
26	0.0142358546	[-0.1187 -0.01158 0.002729]
27	0.0071059753	[-0.04496 -0.009156 -0.07071]
28	0.0071059753	[-0.04496 -0.009156 -0.07071]
29	0.0071059753	[-0.04496 -0.009156 -0.07071]
30	0.0071059753	[-0.04496 -0.009156 -0.07071]
