Differential Evolution Results
Function: Rastrigin
Dimensions: 3

Generation	Best Fitness	Best Position
1	665.8243970932	[-24.06 -9.122 -0.04499]
2	486.2288973765	[-19.76 -9.122 -0.04499]
3	291.8727530464	[14.16 -9.122 -0.04499]
4	289.2531700261	[-14.46 -4.28 -5.144]
5	244.3007030924	[-2.991 14.32 0.6612]
6	136.1941305559	[-9.014 4.912 3.648]
7	136.1941305559	[-9.014 4.912 3.648]
8	25.0671994206	[-0.7661 2.115 2.146]
9	25.0671994206	[-0.7661 2.115 2.146]
10	25.0671994206	[-0.7661 2.115 2.146]
11	25.0671994206	[-0.7661 2.115 2.146]
12	20.5235051847	[-0.7661 2.115 -1.991]
13	20.5235051847	[-0.7661 2.115 -1.991]
14	20.5235051847	[-0.7661 2.115 -1.991]
15	20.5235051847	[-0.7661 2.115 -1.991]
16	20.5235051847	[-0.7661 2.115 -1.991]
17	17.3112583886	[1.305 0.9233 0.03614]
18	11.9711174803	[0.7482 -0.03218 -0.9727]
19	7.9788197251	[0.002908 -0.02624 -1.844]
20	7.9788197251	[0.002908 -0.02624 -1.844]
21	4.1214468017	[0.002908 -0.02624 -1.994]
22	4.1214468017	[0.002908 -0.02624 -1.994]
23	4.1214468017	[0.002908 -0.02624 -1.994]
24	3.0102609258	[1.019 0.9273 0.009663]
25	3.0102609258	[1.019 0.9273 0.009663]
26	2.1698308290	[0.0668 -0.03218 -0.9727]
27	2.1698308290	[0.0668 -0.03218 -0.9727]
28	2.1698308290	[0.0668 -0.03218 -0.9727]
29	2.1698308290	[0.0668 -0.03218 -0.9727]
30	2.1698308290	[0.0668 -0.03218 -0.9727]
