Differential Evolution Results
Function: Rosenbrock
Dimensions: 3

Generation	Best Fitness	Best Position
1	9463243.4911055677	[17.2 -1.176 81.53]
2	2291309.1122261393	[-1.439 -9.727 -56.29]
3	1265651.3032408827	[-6.635 -13.58 87.73]
4	140967.0668678475	[1.4 11.67 100]
5	140967.0668678475	[1.4 11.67 100]
6	43617.2999480600	[1.277 9.975 80.38]
7	24534.3831204100	[1.406 -6.436 28.23]
8	24534.3831204100	[1.406 -6.436 28.23]
9	24534.3831204100	[1.406 -6.436 28.23]
10	10266.1167529790	[1.4 -6.355 34.65]
11	6025.8661292248	[-2.225 9.286 92.6]
12	477.7446312900	[-2.493 6.043 34.43]
13	477.7446312900	[-2.493 6.043 34.43]
14	477.7446312900	[-2.493 6.043 34.43]
15	477.7446312900	[-2.493 6.043 34.43]
16	477.7446312900	[-2.493 6.043 34.43]
17	477.7446312900	[-2.493 6.043 34.43]
18	477.7446312900	[-2.493 6.043 34.43]
19	477.7446312900	[-2.493 6.043 34.43]
20	477.7446312900	[-2.493 6.043 34.43]
21	477.7446312900	[-2.493 6.043 34.43]
22	87.2725147829	[-0.6224 -0.09435 -0.7672]
23	87.2725147829	[-0.6224 -0.09435 -0.7672]
24	87.2725147829	[-0.6224 -0.09435 -0.7672]
25	87.2725147829	[-0.6224 -0.09435 -0.7672]
26	87.2725147829	[-0.6224 -0.09435 -0.7672]
27	87.2725147829	[-0.6224 -0.09435 -0.7672]
28	87.2725147829	[-0.6224 -0.09435 -0.7672]
29	87.2725147829	[-0.6224 -0.09435 -0.7672]
30	87.2725147829	[-0.6224 -0.09435 -0.7672]
