Differential Evolution Results
Function: Quadratic
Dimensions: 3

Generation	Best Fitness	Best Position
1	265.5303762430	[-10.37 9.613 -8.101]
2	265.5303762430	[-10.37 9.613 -8.101]
3	238.7491995369	[-10.37 8.102 -8.101]
4	238.7491995369	[-10.37 8.102 -8.101]
5	167.5459299836	[1.499 -5.326 11.7]
6	31.7133772646	[5.257 -1.38 -1.474]
7	31.7133772646	[5.257 -1.38 -1.474]
8	31.7133772646	[5.257 -1.38 -1.474]
9	31.7133772646	[5.257 -1.38 -1.474]
10	31.7133772646	[5.257 -1.38 -1.474]
11	31.7133772646	[5.257 -1.38 -1.474]
12	8.4926152389	[1.555 -0.7266 2.355]
13	6.9280984145	[-1.74 -0.8416 1.786]
14	6.9280984145	[-1.74 -0.8416 1.786]
15	2.5466859618	[-0.8009 -1.013 -0.938]
16	2.5466859618	[-0.8009 -1.013 -0.938]
17	0.5488098750	[-0.2824 0.3833 -0.5676]
18	0.5488098750	[-0.2824 0.3833 -0.5676]
19	0.3317406086	[0.2538 -0.3957 0.3329]
20	0.3317406086	[0.2538 -0.3957 0.3329]
21	0.2796814703	[0.1258 0.4786 0.1866]
22	0.1974170780	[-0.05196 -0.34 0.2813]
23	0.1204301230	[0.1793 0.209 -0.2111]
24	0.1204301230	[0.1793 0.209 -0.2111]
25	0.0599048947	[-0.1981 0.1328 -0.05519]
26	0.0599048947	[-0.1981 0.1328 -0.05519]
27	0.0378725920	[0.1194 0.1325 0.07784]
28	0.0200484462	[0.04826 -0.01242 -0.1325]
29	0.0058878446	[-0.05355 0.05042 -0.02185]
30	0.0058878446	[-0.05355 0.05042 -0.02185]
31	0.0058878446	[-0.05355 0.05042 -0.02185]
32	0.0058878446	[-0.05355 0.05042 -0.02185]
33	0.0058878446	[-0.05355 0.05042 -0.02185]
34	0.0058878446	[-0.05355 0.05042 -0.02185]
35	0.0019878884	[0.03552 0.02137 -0.01642]
36	0.0019878884	[0.03552 0.02137 -0.01642]
37	0.0019498902	[0.03679 -0.008818 -0.02277]
38	0.0019498902	[0.03679 -0.008818 -0.02277]
39	0.0014134408	[-0.009371 0.02912 -0.02185]
40	0.0007352784	[0.00302 0.02137 -0.01642]
41	0.0005878274	[0.00302 0.01758 -0.01642]
42	0.0002827090	[0.00302 0.001996 -0.01642]
43	0.0002827090	[0.00302 0.001996 -0.01642]
44	0.0001939939	[0.00302 0.009009 0.01018]
45	0.0001491644	[-0.004244 0.01011 0.005375]
46	0.0000752766	[0.007097 -0.0005316 -0.004963]
47	0.0000670758	[0.005949 0.002886 0.004833]
48	0.0000670758	[0.005949 0.002886 0.004833]
49	0.0000110338	[-0.002531 -0.001367 -0.001661]
50	0.0000110338	[-0.002531 -0.001367 -0.001661]
51	0.0000110338	[-0.002531 -0.001367 -0.001661]
52	0.0000008470	[0.0001595 0.0001354 -0.0008962]
53	0.0000008470	[0.0001595 0.0001354 -0.0008962]
54	0.0000008470	[0.0001595 0.0001354 -0.0008962]
55	0.0000008470	[0.0001595 0.0001354 -0.0008962]
56	0.0000008470	[0.0001595 0.0001354 -0.0008962]
57	0.0000008470	[0.0001595 0.0001354 -0.0008962]
58	0.0000002626	[0.0002187 -0.0001204 0.0004476]
59	0.0000002626	[0.0002187 -0.0001204 0.0004476]
60	0.0000002626	[0.0002187 -0.0001204 0.0004476]
61	0.0000002626	[0.0002187 -0.0001204 0.0004476]
62	0.0000002069	[-0.0003059 0.0002335 0.0002425]
63	0.0000002069	[-0.0003059 0.0002335 0.0002425]
64	0.0000002069	[-0.0003059 0.0002335 0.0002425]
65	0.0000001189	[0.0002537 -0.0002039 -0.0001136]
66	0.0000000968	[0.0001873 -0.0002266 0.000102]
67	0.0000000311	[0.0001563 -5.955e-05 5.563e-05]
68	0.0000000311	[0.0001563 -5.955e-05 5.563e-05]
69	0.0000000311	[0.0001563 -5.955e-05 5.563e-05]
70	0.0000000073	[1.875e-05 6.079e-05 5.706e-05]
71	0.0000000035	[-1.471e-05 -4.656e-05 -3.281e-05]
72	0.0000000022	[-9.531e-06 4.431e-05 1.115e-05]
73	0.0000000022	[-9.531e-06 4.431e-05 1.115e-05]
74	0.0000000022	[-9.531e-06 4.431e-05 1.115e-05]
75	0.0000000017	[-2.609e-05 3.005e-05 1.02e-05]
76	0.0000000017	[-2.609e-05 3.005e-05 1.02e-05]
77	0.0000000003	[-3.681e-06 1.345e-05 -1.153e-05]
78	0.0000000003	[-3.681e-06 1.345e-05 -1.153e-05]
79	0.0000000003	[-3.681e-06 1.345e-05 -1.153e-05]
80	0.0000000003	[-1.563e-05 -5.186e-06 2.674e-06]
81	0.0000000003	[-1.563e-05 -5.186e-06 2.674e-06]
82	0.0000000001	[-1.488e-06 8.68e-06 8.156e-06]
83	0.0000000001	[-7.12e-06 6.541e-06 6.459e-06]
84	0.0000000001	[-3.208e-06 5.887e-06 6.963e-06]
85	0.0000000000	[-7.356e-07 -2.712e-06 -7.236e-07]
86	0.0000000000	[-7.356e-07 -2.712e-06 -7.236e-07]
87	0.0000000000	[-7.356e-07 -2.712e-06 -7.236e-07]
88	0.0000000000	[-7.356e-07 -2.712e-06 -7.236e-07]
89	0.0000000000	[-7.356e-07 -2.712e-06 -7.236e-07]
90	0.0000000000	[-8e-07 -1.772e-07 5.888e-07]
91	0.0000000000	[-8e-07 -1.772e-07 5.888e-07]
92	0.0000000000	[-8e-07 -1.772e-07 5.888e-07]
93	0.0000000000	[-8e-07 -1.772e-07 5.888e-07]
94	0.0000000000	[-8e-07 -1.772e-07 5.888e-07]
