Differential Evolution Results
Function: Rastrigin
Dimensions: 3

Generation	Best Fitness	Best Position
1	281.6230326964	[6.888 -4.701 14.02]
2	235.4458950326	[-12.46 2.608 -5.934]
3	235.4458950326	[-12.46 2.608 -5.934]
4	235.4458950326	[-12.46 2.608 -5.934]
5	230.6114054750	[6.373 -5.723 -10.67]
6	212.1692512447	[3.208 10.06 -8.539]
7	129.9704528828	[-1.938 -1.13 -10.88]
8	29.4354088706	[0.9458 3.075 -0.626]
9	29.4351230615	[0.9458 0.2228 -1.627]
10	29.4351230615	[0.9458 0.2228 -1.627]
11	29.4351230615	[0.9458 0.2228 -1.627]
12	29.4351230615	[0.9458 0.2228 -1.627]
13	25.9844578239	[0.02721 2.122 3.86]
14	22.0442225683	[-1.938 -1.13 -0.2985]
15	5.4236947275	[-0.0186 -0.07612 -1.126]
16	5.4236947275	[-0.0186 -0.07612 -1.126]
17	5.4236947275	[-0.0186 -0.07612 -1.126]
18	5.4236947275	[-0.0186 -0.07612 -1.126]
19	4.8187562947	[0.9109 0.009564 -1.081]
20	4.8187562947	[0.9109 0.009564 -1.081]
21	4.8187562947	[0.9109 0.009564 -1.081]
22	4.8187562947	[0.9109 0.009564 -1.081]
23	4.8187562947	[0.9109 0.009564 -1.081]
24	4.8187562947	[0.9109 0.009564 -1.081]
25	4.1373981903	[1.012 1.004 0.9203]
26	4.1373981903	[1.012 1.004 0.9203]
27	4.1373981903	[1.012 1.004 0.9203]
28	4.1373981903	[1.012 1.004 0.9203]
29	4.1373981903	[1.012 1.004 0.9203]
30	4.1373981903	[1.012 1.004 0.9203]
31	2.4640315252	[0.00134 0.009564 -1.081]
32	2.4640315252	[0.00134 0.009564 -1.081]
33	2.4640315252	[0.00134 0.009564 -1.081]
34	2.4640315252	[0.00134 0.009564 -1.081]
35	2.4640315252	[0.00134 0.009564 -1.081]
36	2.4640315252	[0.00134 0.009564 -1.081]
37	2.4640315252	[0.00134 0.009564 -1.081]
38	2.4640315252	[0.00134 0.009564 -1.081]
39	2.3541961996	[-0.9561 -0.07272 0.01235]
40	2.3541961996	[-0.9561 -0.07272 0.01235]
41	2.3541961996	[-0.9561 -0.07272 0.01235]
42	2.3541961996	[-0.9561 -0.07272 0.01235]
43	2.3541961996	[-0.9561 -0.07272 0.01235]
44	1.7979505103	[0.04096 -0.04562 -0.9773]
45	1.7979505103	[0.04096 -0.04562 -0.9773]
46	1.6083047529	[-0.03828 -0.06349 -0.0519]
47	1.6083047529	[-0.03828 -0.06349 -0.0519]
48	1.6083047529	[-0.03828 -0.06349 -0.0519]
49	1.6083047529	[-0.03828 -0.06349 -0.0519]
50	1.6083047529	[-0.03828 -0.06349 -0.0519]
51	1.6083047529	[-0.03828 -0.06349 -0.0519]
52	1.4404028889	[-0.01968 -0.008053 1.037]
53	1.4404028889	[-0.01968 -0.008053 1.037]
54	1.4404028889	[-0.01968 -0.008053 1.037]
55	1.1215979239	[-0.0158 -0.07413 0.002588]
56	1.1215979239	[-0.0158 -0.07413 0.002588]
57	1.1215979239	[-0.0158 -0.07413 0.002588]
58	1.1215979239	[-0.0158 -0.07413 0.002588]
59	0.8153007197	[0.03662 0.01023 -0.0519]
60	0.3296502002	[-0.02396 0.02568 0.02076]
61	0.3296502002	[-0.02396 0.02568 0.02076]
62	0.3296502002	[-0.02396 0.02568 0.02076]
63	0.3010602376	[-0.02079 -0.02581 -0.02054]
64	0.3010602376	[-0.02079 -0.02581 -0.02054]
65	0.0704752093	[0.01284 0.003234 0.01342]
66	0.0704752093	[0.01284 0.003234 0.01342]
67	0.0704752093	[0.01284 0.003234 0.01342]
68	0.0704752093	[0.01284 0.003234 0.01342]
69	0.0704752093	[0.01284 0.003234 0.01342]
70	0.0704752093	[0.01284 0.003234 0.01342]
71	0.0704752093	[0.01284 0.003234 0.01342]
72	0.0637221009	[0.006471 -0.001494 0.01665]
73	0.0637221009	[0.006471 -0.001494 0.01665]
74	0.0496206727	[-0.009919 0.01205 0.002588]
75	0.0496206727	[-0.009919 0.01205 0.002588]
76	0.0080629256	[0.004146 -0.0005192 0.004815]
77	0.0080629256	[0.004146 -0.0005192 0.004815]
78	0.0080629256	[0.004146 -0.0005192 0.004815]
79	0.0080629256	[0.004146 -0.0005192 0.004815]
80	0.0074910705	[0.0007561 -0.0006697 -0.006062]
81	0.0074910705	[0.0007561 -0.0006697 -0.006062]
82	0.0021368692	[0.00257 0.000661 -0.001931]
83	0.0013225720	[-0.0004264 0.002105 0.001434]
84	0.0006613074	[0.0002507 0.0005602 -0.001719]
85	0.0004350715	[0.0008029 0.001243 -4.712e-05]
86	0.0004350715	[0.0008029 0.001243 -4.712e-05]
87	0.0004100824	[0.0009659 0.001047 -0.0001953]
88	0.0001639755	[0.0008029 0.0004238 -4.712e-05]
89	0.0000458035	[-0.0001224 0.0004171 0.0002048]
90	0.0000458035	[-0.0001224 0.0004171 0.0002048]
91	0.0000458035	[-0.0001224 0.0004171 0.0002048]
92	0.0000458035	[-0.0001224 0.0004171 0.0002048]
93	0.0000116992	[-1.378e-05 0.0002378 -4.712e-05]
94	0.0000080101	[3.053e-05 0.0001696 -0.0001034]
95	0.0000080101	[3.053e-05 0.0001696 -0.0001034]
96	0.0000080101	[3.053e-05 0.0001696 -0.0001034]
97	0.0000080101	[3.053e-05 0.0001696 -0.0001034]
98	0.0000023711	[3.053e-05 1.808e-05 -0.0001034]
99	0.0000004723	[4.162e-05 9.74e-07 2.545e-05]
100	0.0000004723	[4.162e-05 9.74e-07 2.545e-05]
101	0.0000004723	[4.162e-05 9.74e-07 2.545e-05]
102	0.0000004723	[4.162e-05 9.74e-07 2.545e-05]
103	0.0000004723	[4.162e-05 9.74e-07 2.545e-05]
104	0.0000004723	[4.162e-05 9.74e-07 2.545e-05]
105	0.0000000755	[-1.198e-05 6.431e-06 1.398e-05]
106	0.0000000755	[-1.198e-05 6.431e-06 1.398e-05]
107	0.0000000755	[-1.198e-05 6.431e-06 1.398e-05]
