Differential Evolution Results
Function: Rosenbrock
Dimensions: 3

Generation	Best Fitness	Best Position
1	1386778.9389824700	[8.758 2.874 100]
2	186108.2186704510	[-1.796 5.086 -17.23]
3	186108.2186704510	[-1.796 5.086 -17.23]
4	57516.9382793179	[4.625 1.739 16.76]
5	12279.1461226542	[-0.8192 -0.7373 -10.44]
6	12279.1461226542	[-0.8192 -0.7373 -10.44]
7	12279.1461226542	[-0.8192 -0.7373 -10.44]
8	6353.0077153973	[-1.967 4.082 24.62]
9	6353.0077153973	[-1.967 4.082 24.62]
10	3593.1371304091	[-2.33 10.17 100]
11	3593.1371304091	[-2.33 10.17 100]
12	477.3235266011	[-1.796 5.086 26.9]
13	477.3235266011	[-1.796 5.086 26.9]
14	477.3235266011	[-1.796 5.086 26.9]
15	477.3235266011	[-1.796 5.086 26.9]
16	477.3235266011	[-1.796 5.086 26.9]
17	317.4890074274	[0.7265 -0.09655 1.674]
18	317.4890074274	[0.7265 -0.09655 1.674]
19	158.6648591347	[1.367 1.265 0.4951]
20	133.3836551800	[-1.038 0.03043 0.4307]
21	117.3138720580	[-2.956 8.337 70.07]
22	117.3138720580	[-2.956 8.337 70.07]
23	19.7940108241	[0.7415 0.3062 -0.2711]
24	19.7940108241	[0.7415 0.3062 -0.2711]
25	19.7940108241	[0.7415 0.3062 -0.2711]
26	19.7940108241	[0.7415 0.3062 -0.2711]
27	19.7940108241	[0.7415 0.3062 -0.2711]
28	19.7940108241	[0.7415 0.3062 -0.2711]
29	19.7940108241	[0.7415 0.3062 -0.2711]
30	19.7940108241	[0.7415 0.3062 -0.2711]
31	2.0876546764	[0.4447 0.09994 -0.0008644]
32	2.0876546764	[0.4447 0.09994 -0.0008644]
33	2.0876546764	[0.4447 0.09994 -0.0008644]
34	2.0876546764	[0.4447 0.09994 -0.0008644]
35	2.0876546764	[0.4447 0.09994 -0.0008644]
36	2.0876546764	[0.4447 0.09994 -0.0008644]
37	2.0876546764	[0.4447 0.09994 -0.0008644]
38	2.0876546764	[0.4447 0.09994 -0.0008644]
39	2.0876546764	[0.4447 0.09994 -0.0008644]
40	2.0876546764	[0.4447 0.09994 -0.0008644]
41	2.0876546764	[0.4447 0.09994 -0.0008644]
42	2.0876546764	[0.4447 0.09994 -0.0008644]
43	2.0876546764	[0.4447 0.09994 -0.0008644]
44	2.0876546764	[0.4447 0.09994 -0.0008644]
45	2.0876546764	[0.4447 0.09994 -0.0008644]
46	1.3457494456	[0.5853 0.2639 0.05789]
47	1.3457494456	[0.5853 0.2639 0.05789]
48	1.3457494456	[0.5853 0.2639 0.05789]
49	1.3457494456	[0.5853 0.2639 0.05789]
50	1.3457494456	[0.5853 0.2639 0.05789]
51	1.3012793865	[0.3078 0.0998 0.01953]
52	1.0634042420	[0.4931 0.2387 0.009549]
53	0.8600421524	[0.4931 0.2387 0.04231]
54	0.6232237100	[0.6351 0.3751 0.1547]
55	0.6232237100	[0.6351 0.3751 0.1547]
