Differential Evolution Results
Function: Quadratic
Dimensions: 3

Generation	Best Fitness	Best Position
1	124.0033372769	[7.788 7.764 1.754]
2	124.0033372769	[7.788 7.764 1.754]
3	115.0618426203	[8.257 -3.64 -5.8]
4	115.0618426203	[8.257 -3.64 -5.8]
5	38.8625203104	[2.85 1.112 5.432]
6	38.8625203104	[2.85 1.112 5.432]
7	23.5558601434	[-3.503 -2.823 -1.821]
8	8.5057128432	[-1.275 1.124 -2.37]
9	8.5057128432	[-1.275 1.124 -2.37]
10	8.5057128432	[-1.275 1.124 -2.37]
11	4.7868869212	[0.106 1.197 1.828]
12	4.7868869212	[0.106 1.197 1.828]
13	3.8351217751	[0.8552 1.162 1.325]
14	3.2885086644	[-0.06959 1.271 1.291]
15	3.2885086644	[-0.06959 1.271 1.291]
16	2.4667239542	[-0.7789 0.3779 1.31]
17	1.5259064304	[1.028 0.2987 0.6163]
18	0.1492913700	[-0.008932 0.02413 -0.3855]
19	0.1425640346	[-0.2178 0.1886 -0.2441]
20	0.0876976253	[-0.008932 0.02413 0.295]
21	0.0876976253	[-0.008932 0.02413 0.295]
22	0.0876976253	[-0.008932 0.02413 0.295]
23	0.0398143905	[0.06752 -0.1054 0.1554]
24	0.0078027296	[0.03916 -0.06824 -0.04017]
25	0.0078027296	[0.03916 -0.06824 -0.04017]
26	0.0078027296	[0.03916 -0.06824 -0.04017]
27	0.0078027296	[0.03916 -0.06824 -0.04017]
28	0.0073229062	[0.03916 -0.06824 0.03367]
29	0.0073229062	[0.03916 -0.06824 0.03367]
30	0.0046138450	[-0.06138 0.02758 -0.009252]
