Differential Evolution Results
Function: Rastrigin
Dimensions: 3

Generation	Best Fitness	Best Position
1	176.6272332053	[2.604 9.906 -7.095]
2	176.6272332053	[2.604 9.906 -7.095]
3	176.6272332053	[2.604 9.906 -7.095]
4	176.6272332053	[2.604 9.906 -7.095]
5	176.6272332053	[2.604 9.906 -7.095]
6	176.6272332053	[2.604 9.906 -7.095]
7	91.4700224699	[-3.408 5.745 3.869]
8	91.4700224699	[-3.408 5.745 3.869]
9	91.4700224699	[-3.408 5.745 3.869]
10	28.2519177227	[-1.304 1.97 -3.017]
11	28.2519177227	[-1.304 1.97 -3.017]
12	28.2519177227	[-1.304 1.97 -3.017]
13	28.2519177227	[-1.304 1.97 -3.017]
14	28.2519177227	[-1.304 1.97 -3.017]
15	28.2519177227	[-1.304 1.97 -3.017]
16	28.2519177227	[-1.304 1.97 -3.017]
17	18.2268913565	[-0.002801 0.6362 -0.08069]
18	18.2268913565	[-0.002801 0.6362 -0.08069]
19	16.4045723426	[-1.945 2.189 -0.9901]
20	16.4045723426	[-1.945 2.189 -0.9901]
21	14.4134674742	[1.024 -2 3.023]
22	11.8262321257	[-2.963 0.1197 0.01839]
23	7.1134941086	[-0.9889 1.06 0.1529]
24	7.1134941086	[-0.9889 1.06 0.1529]
25	7.1134941086	[-0.9889 1.06 0.1529]
26	3.3381992559	[1.038 0.0659 -0.07602]
27	3.3381992559	[1.038 0.0659 -0.07602]
28	3.3381992559	[1.038 0.0659 -0.07602]
29	3.3381992559	[1.038 0.0659 -0.07602]
30	3.3381992559	[1.038 0.0659 -0.07602]
