Differential Evolution Results
Function: Rosenbrock
Dimensions: 3

Generation	Best Fitness	Best Position
1	4921.7551758697	[1.606 -1.595 8.178]
2	4921.7551758697	[1.606 -1.595 8.178]
3	4638.6357831251	[1.606 -1.595 7.921]
4	4638.6357831251	[1.606 -1.595 7.921]
5	4638.6357831251	[1.606 -1.595 7.921]
6	4638.6357831251	[1.606 -1.595 7.921]
7	4638.6357831251	[1.606 -1.595 7.921]
8	199.9580194797	[-3.018 8.904 80.36]
9	199.9580194797	[-3.018 8.904 80.36]
10	199.9580194797	[-3.018 8.904 80.36]
11	199.9580194797	[-3.018 8.904 80.36]
12	199.9580194797	[-3.018 8.904 80.36]
13	199.9580194797	[-3.018 8.904 80.36]
14	199.9580194797	[-3.018 8.904 80.36]
15	199.9580194797	[-3.018 8.904 80.36]
16	199.9580194797	[-3.018 8.904 80.36]
17	199.9580194797	[-3.018 8.904 80.36]
18	199.9580194797	[-3.018 8.904 80.36]
19	199.9580194797	[-3.018 8.904 80.36]
20	61.2820118378	[1.138 2.047 4.377]
21	61.2820118378	[1.138 2.047 4.377]
22	61.2820118378	[1.138 2.047 4.377]
23	22.9213842959	[-0.07181 -0.39 -0.05333]
24	22.9213842959	[-0.07181 -0.39 -0.05333]
25	22.9213842959	[-0.07181 -0.39 -0.05333]
26	22.9213842959	[-0.07181 -0.39 -0.05333]
27	22.9213842959	[-0.07181 -0.39 -0.05333]
28	22.9213842959	[-0.07181 -0.39 -0.05333]
29	22.9213842959	[-0.07181 -0.39 -0.05333]
30	22.9213842959	[-0.07181 -0.39 -0.05333]
