Differential Evolution Results
Function: Quadratic
Dimensions: 3

Generation	Best Fitness	Best Position
1	620.3635033977	[-0.3272 -2.149 24.81]
2	497.1051767016	[-13.35 11.14 -13.96]
3	131.3017517325	[-3.734 -10.64 -2.02]
4	116.2072828999	[0.3287 -1.638 -10.65]
5	22.3972120396	[-2.641 -1.638 -3.569]
6	22.3972120396	[-2.641 -1.638 -3.569]
7	22.3972120396	[-2.641 -1.638 -3.569]
8	22.3972120396	[-2.641 -1.638 -3.569]
9	22.3972120396	[-2.641 -1.638 -3.569]
10	16.5560748604	[-3.4 0.2618 -2.22]
11	16.5560748604	[-3.4 0.2618 -2.22]
12	16.5560748604	[-3.4 0.2618 -2.22]
13	16.5560748604	[-3.4 0.2618 -2.22]
14	3.1846025560	[-1.543 -0.3708 -0.8168]
15	3.1846025560	[-1.543 -0.3708 -0.8168]
16	1.1563374511	[0.9826 -0.4304 -0.075]
17	1.1563374511	[0.9826 -0.4304 -0.075]
18	1.1563374511	[0.9826 -0.4304 -0.075]
19	0.9583263371	[0.9652 -0.02226 0.1619]
20	0.5414417981	[-0.2394 0.6696 0.1892]
21	0.3191977465	[0.2755 -0.4323 0.2375]
22	0.3191977465	[0.2755 -0.4323 0.2375]
23	0.3191977465	[0.2755 -0.4323 0.2375]
24	0.3191977465	[0.2755 -0.4323 0.2375]
25	0.2559141935	[-0.2479 0.3243 -0.2988]
26	0.1627204110	[-0.1636 -0.1876 -0.3174]
27	0.1230965420	[0.09409 -0.2748 -0.1968]
28	0.0727736486	[0.1889 -0.1785 -0.07218]
29	0.0580005648	[-0.1002 0.1475 0.1619]
30	0.0214673775	[-0.1258 -0.002509 -0.075]
