Differential Evolution Results
Function: Rastrigin
Dimensions: 3

Generation	Best Fitness	Best Position
1	142.7490059446	[7.573 5.891 -4.81]
2	117.2642507446	[7.958 -4.442 -1.725]
3	117.2642507446	[7.958 -4.442 -1.725]
4	117.2642507446	[7.958 -4.442 -1.725]
5	117.2642507446	[7.958 -4.442 -1.725]
6	117.2642507446	[7.958 -4.442 -1.725]
7	103.4840391285	[7.958 -1.597 1.64]
8	70.4483269465	[2.071 3.655 -6.013]
9	63.2284404012	[2.019 3.766 -5.952]
10	21.5571720577	[-2.187 0.1773 -0.166]
11	21.5571720577	[-2.187 0.1773 -0.166]
12	21.5571720577	[-2.187 0.1773 -0.166]
13	21.5571720577	[-2.187 0.1773 -0.166]
14	21.5571720577	[-2.187 0.1773 -0.166]
15	21.5571720577	[-2.187 0.1773 -0.166]
16	16.5978727119	[-1.16 0.1773 -0.166]
17	12.7050142621	[-2.119 0.9276 1.114]
18	8.3048425470	[-0.04882 -0.8778 -0.8623]
19	8.3048425470	[-0.04882 -0.8778 -0.8623]
20	8.2680288773	[-0.07696 -2.035 -0.8997]
21	8.2680288773	[-0.07696 -2.035 -0.8997]
22	8.2680288773	[-0.07696 -2.035 -0.8997]
23	4.2361339133	[1.073 -0.9813 -0.9841]
24	4.2361339133	[1.073 -0.9813 -0.9841]
25	4.2361339133	[1.073 -0.9813 -0.9841]
26	4.2361339133	[1.073 -0.9813 -0.9841]
27	4.2361339133	[1.073 -0.9813 -0.9841]
28	4.2361339133	[1.073 -0.9813 -0.9841]
29	4.2361339133	[1.073 -0.9813 -0.9841]
30	4.2361339133	[1.073 -0.9813 -0.9841]
