Differential Evolution Results
Function: Rosenbrock
Dimensions: 3

Generation	Best Fitness	Best Position
1	338666.7019125948	[-5.819 6.252 -12.13]
2	338666.7019125948	[-5.819 6.252 -12.13]
3	99154.7828754160	[3.454 0.1542 29.23]
4	14171.0459478524	[-0.7759 -9.653 99.12]
5	14171.0459478524	[-0.7759 -9.653 99.12]
6	6077.5141785735	[0.5621 7.911 60.97]
7	682.6410764473	[3.136 7.911 60.97]
8	682.6410764473	[3.136 7.911 60.97]
9	682.6410764473	[3.136 7.911 60.97]
10	682.6410764473	[3.136 7.911 60.97]
11	682.6410764473	[3.136 7.911 60.97]
12	682.6410764473	[3.136 7.911 60.97]
13	682.6410764473	[3.136 7.911 60.97]
14	682.6410764473	[3.136 7.911 60.97]
15	377.4646576750	[-3.069 7.785 59.91]
16	377.4646576750	[-3.069 7.785 59.91]
17	136.9917228743	[-1.263 0.6719 -0.2305]
18	136.9917228743	[-1.263 0.6719 -0.2305]
19	136.9917228743	[-1.263 0.6719 -0.2305]
20	57.3957709509	[1 0.6719 -0.2305]
21	57.3957709509	[1 0.6719 -0.2305]
22	57.3957709509	[1 0.6719 -0.2305]
23	57.3957709509	[1 0.6719 -0.2305]
24	41.4418870824	[0.6445 -0.0588 0.4242]
25	41.4418870824	[0.6445 -0.0588 0.4242]
26	41.4418870824	[0.6445 -0.0588 0.4242]
27	41.4418870824	[0.6445 -0.0588 0.4242]
28	41.4418870824	[0.6445 -0.0588 0.4242]
29	41.4418870824	[0.6445 -0.0588 0.4242]
30	41.4418870824	[0.6445 -0.0588 0.4242]
